absínthico	adj.
absinthina	f.
absínthio	m. | lat.
absinthismo	m.
absinthite	m. | lat.
absintho	m. | fr. | V.
absíntico	adj.
absintina	f.
absíntio	m. | lat.
absintismo	m.
absintite	m. | lat.
absinto	m. | fr. | V.
absogra	fem.
absogro	m. | lat.
absoleto	adj. | Ant. | Cf.
absolto	adj. | Cf. | lat.
absolução	f. | Ant. | lat.
absolutamente	adv.
absolutismo	m.
absolutista	adj. | m.
absoluto	adj. | lat.
absolutório	adj.
absolver	v. | t. | ﬁg. | lat.
absolvição	f. | lat.
absolvimento	m.
ábsono	adj. | lat.
absorpção	f. | lat.
absorpciometria	f. | lat. | gr.
absorpciométrico	adj.
absorto	adj. | lat.
absorvedoiro	m.
absorvedor	m. e adj.
absorvedouro	m.
absorvência	f.
absorvente	m. e adj. | lat.
absorver	v. | t. | p. | lat.
absorvimento	m.
absôrvo	m.
abstemia	f.
abstêmico	adj.
abstêmio	adj. | m. | lat.
abstenção	f. | lat.
abstencionista	m. | Cf. | pol.
abster	v. t. | V. | p. | v. i. | Cf. | lat.
abstergência	f.
abstergente	adj. | lat.
absterger	v. t. | lat.
abstero	adj. | Ant.
abstersão	f. | lat.
abstersivo	adj. | m.
absterso	adj. | lat.
abstinência	f. | lat.
abstinente	adj. | lat.
abstracção	f. | lat.
abstractamente	adv.
abstractivo	adj.
abstracto	adj. | m. | lat.
abstrahimento	m. | Cf.
abstrahir	v. t. | v. i. | V. | p. | lat.
abstraimento	m. | Cf.
abstrair	v. t. | v. i. | V. | p. | lat.
abstrusamente	adv.
abstrusidade	f.
abstruso	adj. | lat.
absumir	v. t. | des. | lat.
absumpção	f. | lat.
absurdamente	adv.
absurdeza	f. | Cf.
absurdo	adj. | m. | lat.
abu	m.
abuçar	v. t. | Gír.
abugão	m. | Prov. minh.
abujão	m. | lat.
abular	v. t. | V. | p.
abulia	f. | gr.
abúlico	adj.
abullar	v. t. | V. | p.
abuna	m. | Bras.
abundamento	m. | Ant.
abundância	f. | lat.
abundante	adj. | ﬁg.
abundantemente	adv.
abundar	v. | fam. | lat.
abundidade	f. | Cf.
abundosamente	adv.
abundoso	adj. | Ant. | Cf.
abunhadio	m.
abunhado	m.
abunhar	v. i.
abur!	interj. | Prov. trasm.
aburacar	v. t. | V.
aburelar	v. t.
aburguesado	adj.
aburguesar-se	v. p.
aburrar	v. t. | des.
